text,label,department
Future requirement for hospital medicine shortage in town.,later,roads
There have been repeated thefts in MG Road; increased police patrolling requested. Local shops are losing business due to this. This requires immediate attention,urgent,crime
A burst water pipe at Industrial Area floods the road and affects nearby homes. Families and elderly are affected. This is an emergency Photos can be provided on request.,urgent,water
Motorbike snatching occurred at Block A; CCTV and quick response required. Children and patients are particularly impacted. Kindly investigate the matter This has been ongoing for weeks.,neutral,crime
Future requirement for need new school in hospital area.,later,civil
Road construction left debris at Block A. Vehicles are being damaged frequently. This has been ongoing for weeks.,neutral,roads
A fallen electric pole on Near City Park poses a danger; urgent fix required. This is causing significant inconvenience to residents.,neutral,electricity
Dirty water is coming from the tap in Near School. Suspect contamination near the supply source. Request to address when possible We request a technician visit during office hours.,neutral,water
A burst water pipe at Old Bus Stand floods the road and affects nearby homes. Families and elderly are affected. Routine attention is fine This has been ongoing for weeks.,later,water
Street lights are not working on Market Area at night causing safety hazards. Families and elderly are affected. Can be scheduled later,later,electricity
"Garbage collection is irregular in MGG Road; heaps of waste attract pests and foul smell. Children and patients are particularly impacted. Not urgent, can wait",later,sanitation
Road construction left debris at Old Bus Stand. Vehicles are being damaged frequently. Please take necessary steps,neutral,roads
Open drains clogged at Near School create breeding grounds for mosquitoes. Local shops are losing busness due to this. Routine attention is fine,later,sanitation
Frequent power cuts in Block A disrupt businesses and studies. Need immediate repair to transformer. This requires immediate attention,urgent,electricity
Garbage collection is irregular in MG Road; heaps of waste attract pests and foul smell. Local shops are losing business due to this. Please consider for future maintenance,later,sanitation
Street lights are not working on Industrial Area at night causing safety hazards. Children and patients are particularly impacted. Urgent action needed We request a technician visit during office hours.,urgent,electricity
Harassment incident reported at Lake Road; request police action and investigation. Routine attention is fine,later,crime
Drinking water supply has been stopped for days in River Side. Residents are without water for cooking and bathing. Local shops are losing business due to this. Routine attention is fine,later,water
"There is continuous leakage from the main pipeline on 5th Cross, causing low water pressure and contamination concerns. Local shops are losing business due to this. Routine attention is fine",later,water
Urgent complaint regarding building public library. Needs quick attention at main road.,urgent,roads
"Sewage overflow at Sector 5 contaminates street and poses health risks. Not urgent, can wait We request a technician visit during office hours.",later,sanitation
Public structure at MG Road needs inspection and repair; cracks appearing on walls. Children and patients are particularly impacted.,neutral,civil
Long-term development needed: bus stand crowding at hospital area.,later,roads
A burst water pipe at Lake Road floods the road and affects nearby homes. Local shops are losing business due to this. Urgent action needed,urgent,water
"Garbage collection is irregular in Sector 5; heaps of waste attract pests and foul smell. Families and elderly are affected. Not urgent, can wait",later,sanitation
Street lights are not working on Block A at night causing safety hazards. This is causing significant inconvenience to residents. Urgent action needed,urgent,electricity
"There have been repeated thefts in Old Bus Stand; increased police patrolling requested. This is causing significant inconvenience to residents. Not urgent, can wait",later,crime
Delay in issuing building permit for MG Road stalls legitimate construction. Please take necessary steps,neutral,civil
Street lights are not working on 5th Cross at night causing safety hazards. This is an emergency Photos can be provided on request.,urgent,electricity
Traffic signals at MG Road are non-functional leading to congestion and safety issues. Children and patients are particularly impacted. Can be scheduled later,later,roads
Request for water supply shortage at school zone.,neutral,water
Frequent power cuts in Temple Street disrupt businesses and studies. Need immediate repair to transformer. Please look into this,neutral,electricity
Frequent power cuts in Old Bus Stand disrupt businesses and studies. Need immediate repair to transformer. Local shops are losing business due to this. This requires immediate attention,urgent,electricity
Frequent power cuts in Market Area disrupt businesses and studies. Need immediate repair to transformer. Children and patients are particularly impacted. Please fix immediately,urgent,electricity
"Sewage overflow at Market Area contaminates street and poses health risks. Not urgent, can wait",later,sanitation
Immediate action required: hospital medicine shortage in city.,urgent,roads
Collapsed boundary wall at Near School is a safety risk to children and pedestrians. This is causing significant inconvenience to residents. Can be scheduled later Please coordinate with the local ward member.,later,civil
Motorbike snatching occurred at Sector 5; CCTV and quick response required.,urgent,crime
A burst water pipe at Near City Park floods the road and affects nearby homes. This is causing significant inconvenience to residents. Request to address when possible Please coordinate with the local ward member.,neutral,water
Motorbike snatching occurred at 5th Cross; CCTV and quick response required. This is causing significant inconvenience to residents.,neutral,crime
Immediate action required: bus stand crowding in school zone.,urgent,roads
The road near Industrial Area is washed away and is impassable during rains; please repair urgently. Children and patients are particularly impacted. Can be scheduled later We request a technician visit during office hours.,later,roads
A fallen electric pole on Industrial Area poses a danger; urgent fix required. Routine attention is fine,later,electricity
Public structure at Near School needs inspection and repair; cracks appearing on walls. Children and patients are particularly impacted. This is an emergency This has been ongoing for weeks.,urgent,civil
A fallen electric pole on Block A poses a danger; urgent fix required. This is an emergency,urgent,electricity
Street lights are not working on Sector 5 at night causing safety hazards. Families and elderly are affected.,neutral,electricity
A fallen electric pole on Old Bus Stand poses a danger; urgent fix required. Urgent action needed,urgent,electricity
Suspicious persons and petty crimes reported near 5th Cross; streetlights and patrol needed. Families and elderly are affected. Request to address when possible We request a technician visit during office hours.,neutral,crime
Garbage collection is irregular in 5th Cross; heaps of waste attract pests and foul smell. Please look into this,neutral,sanitation
Open drains clogged at Industrial Area create breeding grounds for mosquitoes. Families and elderly are affected. Please take necessary steps We request a technician visit during office hours.,neutral,sanitation
"Public toilets at Industrial Area are unusable and improperly maintained; request cleaning and repair. Local shops are losing business due to this. Not urgent, can wait",later,sanitation
There have been repeated thefts in Market Area; increased police patrolling requested. Request to address when possible Please coordinate with the local ward member.,neutral,crime
public toilet maintenance has created unsafe conditions in bus stand. Needs urgent fix.,urgent,sanitation
Voltage fluctuations are damaging appliances in 5th Cross. Request inspection and stabilization of supply. Local shops are losing business due to this. This is an emergency,urgent,electricity
Voltage fluctuations are damaging appliances in 5th Cross. Request inspection and stabilization of supply. Children and patients are particularly impacted.,later,electricity
Suspicious persons and petty crimes reported near Near School; streetlights and patrol needed. Local shops are losing business due to this. Please look into this We request a technician visit during office hours.,neutral,crime
Open drains clogged at Sector 5 create breeding grounds for mosquitoes. This is causing significant inconvenience to residents. Please coordinate with the local ward member.,neutral,sanitation
Sewage overflow at Old Bus Stand contaminates street and poses health risks. Children and patients are particularly impacted. Request to address when possible Please coordinate with the local ward member.,neutral,sanitation
Sewage overflow at River Side contaminates street and poses health risks. This requires immediate attention Photos can be provided on request.,urgent,sanitation
Request for need new school at town.,neutral,water
The road near Lake Road is washed away and is impassable during rains; please repair urgently. Kindly investigate the matter This has been ongoing for weeks.,neutral,roads
The road near Old Bus Stand is washed away and is impassable during rains; please repair urgently. Local shops are losing business due to this.,neutral,roads
Public toilets at 5th Cross are unusable and improperly maintained; request cleaning and repair. Families and elderly are affected. Please consider for future maintenance Please coordinate with the local ward member.,later,sanitation
Garbage collection is irregular in Lake Road; heaps of waste attract pests and foul smell. Children and patients are particularly impacted. Please fix immediately,urgent,sanitation
Drinking water supply has been stopped for days in 5th Cross. Residents are without water for cooking and bathing. This is causing significant inconvenience to residents. Request to address when possible Please coordinate with the local ward member.,neutral,water
A burst water pipe at Sector 5 floods the road and affects nearby homes. This is causing significant inconvenience to residents. Please look into this,neutral,water
Sewage overflow at Old Bus Stand contaminates street and poses health risks. This is causing significant inconvenience to residents. Routine attention is fine,later,sanitation
Suspicious persons and petty crimes reported near 5th Cross; streetlights and patrol needed. Kindly investigate the matter Photos can be provided on request.,neutral,crime
Dirty water is coming from the tap in Market Area. Suspect contamination near the supply source. Children and patients are particularly impacted. Routine attention is fine,later,water
Collapsed boundary wall at Old Bus Stand is a safety risk to children and pedestrians. Local shops are losing business due to this. Urgent action needed,urgent,civil
"Public structure at Block A needs inspection and repair; cracks appearing on walls. This is causing significant inconvenience to residents. Not urgent, can wait",later,civil
Voltage fluctuations are damaging appliances in Industrial Area. Request inspection and stabilization of supply. Families and elderly are affected. Routine attention is fine Please coordinate with the local ward member.,later,electricity
"Serious problem of need overhead water tank in village, kindly resolve immediately.",urgent,water
Suspicious persons and petty crimes reported near 5th Cross; streetlights and patrol needed. Families and elderly are affected. Please fix immediately,urgent,crime
"Voltage fluctuations are damaging appliances in 5th Cross. Request inspection and stabilization of supply. This is causing significant inconvenience to residents. Not urgent, can wait We request a technician visit during office hours.",later,electricity
Open drains clogged at Temple Street create breeding grounds for mosquitoes. Kindly investigate the matter,neutral,sanitation
Request for need new school at village.,neutral,civil
"There is continuous leakage from the main pipeline on Block A, causing low water pressure and contamination concerns. Families and elderly are affeted. Please consider for future maintenance",later,water
"Street lights are not working on Sector 5 at night causing safety hazards. Not urgent, can wait",later,electricity
Sewage overflow at MG Road contaminates street and poses health risks. Urgent action needed We request a technician visit during office hours.,urgent,sanitation
"Voltage fluctuations are damaging appliances in Sector 5. Request inspection and stabilization of supply. Children and patients are particularly impacted. Not urgent, can wait",later,electricity
"Sewage overflow at Lake Road contaminates street and poses health risks. Not urgent, can wait",later,sanitation
Delay in issuing building permit for Temple Street stalls legitimate construction. Children and patients are particularly impacted. Please take necessary steps Please coordinate with the local ward member.,neutral,civil
Frequent power cuts in Market Area disrupt businesses and studies. Need immediate repair to transformer. Local shops are losing business due to this. Please look into this This has been ongoing for weeks.,neutral,electricity
The road near Near School is washed away and is impassable during rains; please repair urgently. Request to address when possible We request a technician visit during office hours.,neutral,roads
Street lights are not working on Near City Park at night causing safety hazards. Local shops are losing business due to this. Please take necessary steps Photos can be provided on request.,neutral,electricity
"Frequent power cuts in Industrial Area disrupt businesses and studies. Need immediate repair to transformer. Not urgent, can wait",later,electricity
There have been repeated thefts in Market Area; increased police patrolling requested. This is causing significant inconvenience to residents. Request to address when possible,neutral,crime
Urgent complaint regarding need new school. Needs quick attention at school zone.,urgent,roads
Collapsed boundary wall at Old Bus Stand is a safety risk to children and pedestrians. This is causing significant inconvenience to residents. Request to address when possible,neutral,civil
A fallen electric pole on Temple Street poses a danger; urgent fix required. Please fix immediately Photos can be provided on request.,urgent,electricity
Citizens have requested better school building damage in town.,neutral,civil
Delay in issuing building permit for Near School stalls legitimate construction. Urgent action needed We request a technician visit during office hours.,urgent,civil
Open drains clogged at Near School create breeding grounds for mosquitoes. Children and patients are particularly impacted. Can be scheduled later,later,sanitation
Harassment incident reported at Industrial Area; request police action and investigation. Children and patients are particularly impacted. Please look into this This has been ongoing for weeks.,neutral,crime
Long-term development needed: building public library at bus stand.,later,civil
Collapsed boundary wall at Sector 5 is a safety risk to children and pedestrians. Local shops are losing business due to this. Please consider for future maintenance This has been ongoing for weeks.,later,civil
"There is continuous leakage from the main pipeline on MG Road, causing low water pressure and contamination concerns. Children and patients are particularly impacted. Urgent action needed This has been ongoing for weeks.",urgent,water
Suspicious persons and petty crimes reported near Industrial Area; streetlights and patrol needed. Families and elderly are affected. This requires immediate attention We request a technician visit during office hours.,urgent,crime
Long-term development needed: electricity outage at school zone.,later,electricity
Open drains clogged at MG Road create breeding grounds for mosquitoes. Please take necessary steps,neutral,sanitation
Unauthorized construction at Lake Road violates building regulations and blocks sunlight to nearby homes. Please consider for future maintenance Please coordinate with the local ward member.,later,civil
Future requirement for hospital medicine shortage in residential colony.,later,roads
Garbage collection is irregular in Old Bus Stand; heaps of waste attract pests and foul smell. Can be scheduled later Photos can be provided on request.,later,sanitation
Open drains clogged at Old Bus Stand create breeding grounds for mosquitoes. This requires immediate attention Photos can be provided on request.,urgent,sanitation
Delay in issuing building permit for Industrial Area stalls legitimate construction. Local shops are losing business due to this. Urgent action needed This has been ongoing for weeks.,urgent,civil
school building damage has created unsafe conditions in town. Needs urgent fix.,urgent,civil
Drinking water supply has been stopped for days in 5th Cross. Residents are without water for cooking and bathing. This is causing significant inconvenience to residents. This is an emergency We request a technician visit during office hours.,urgent,water
Large potholes on Old Bus Stand are causing accidents ad vehicle damage; request resurfacing. Local shops are losing business due to this. Please look into this,neutral,roads
Public structure at Near School needs inspection and repair; cracks appearing on walls. Please take necessary steps,neutral,civil
Delay in issuing building permit for 5th Cross stalls legitimate construction. Kindly investigate the matter,neutral,civil
Street lights are not working on Old Bus Stand at night causing safety hazards. This is causing significant inconvenience to residents. Routine attention is fine,later,electricity
There have been repeated thefts in Near City Park; increased police patrolling requested. This requires immediate attention,urgent,crime
Road construction left debris at Block A. Vehicles are being damaged frequently. Children and patients are particularly impacted. Can be scheduled later We request a technician visit during office hours.,later,roads
Open drains clogged at Industrial Area create breeding grounds for mosquitoes. This is an emergency Photos can be provided on request.,urgent,sanitation
Traffic signals at Near City Park are non-functional leading to congestion and safety issues. This is causing significant inconvenience to residents. Can be scheduled later Please coordinate with the local ward member.,later,roads
Future requirement for hospital medicine shortage in hospital area.,later,roads
Collapsed boundary wall at River Side is a safety risk to children and pedestrians. Children and patients are particularly impacted. This is an emergency,urgent,civil
The road near MG Road is washed away and is impassable during rains; please repair urgently. Children and patients are particularly impacted. Urgent action needed,urgent,roads
Future requirement for garbage pileup in residential colony.,later,sanitation
Street lights are not working on Sector 5 at night causing safety hazards. Local shops are losing business due to this. Can be scheduled later,later,electricity
Garbage collection is irregular in Near School; heaps of waste attract pests and foul smell. Children and patients are particularly impacted. Please take necessary steps,neutral,sanitation
Request for bus stand crowding at main road.,neutral,roads
"There is continuous leakage from the main pipeline on Near City Park, causing low water pressure and contamination concerns. Please look into this This has been ongoing for weeks.",neutral,water
Long-term development needed: bus stand crowding at highway.,later,roads
"Suspicious persons and petty crimes reported near MG Road; streetlights and patrol needed. Local shops are losing business due to this. Not urgent, can wait",later,crime
Suspicious persons and petty crimes reported near River Side; streetlights and patrol needed.,neutral,crime
"Garbage collection is irregular in Near City Park; heaps of waste attract pests and foul smell. This is causing significant inconvenience to residents. Not urgent, can wait",later,sanitation
Drinking water supply has been stopped for days in Near City Park. Residents are without water for cooking and bathing. Children and patients are particularly impacted. Can be scheduled later,later,water
Immediate action required: public toilet maintenance in school zone.,urgent,sanitation
Harassment incident reported at 5th Cross; request police action and investigation. Please take necessary steps,neutral,crime
Sewage overflow at MG Road contaminates street and poses health risks. Urgent action needed,urgent,sanitation
Collapsed boundary wall at Near City Park is a safety risk to children and pedestrians. Children and patients are particularly impacted. Can be scheduled later We request a technician visit during office hours.,later,civil
Proposal to improve water supply shortage in city in future plans.,later,water
Proposal to improve garbage pileup in school zone in future plans.,later,sanitation
Drinking water supply has been stopped for days in Near School. Residents are without water for cooking and bathing. This has been ongoing for weeks.,later,water
Harassment incident reported at Near City Park; request police action and investigation. Please take necessary steps,neutral,crime
Traffic signals at Temple Street are non-functional leading to congestion and safety issues. Urgent action needed,urgent,roads
Public structure at Old Bus Stand needs inspection and repair; cracks appearing on walls. Kindly investigate the matter This has been ongoing for weeks.,neutral,civil
Garbage collection is irregular in Temple Street; heaps of waste attract pests and foul smell. This is causing significant inconvenience to residents. Please consider for future maintenance Please coordinate with the local ward member.,later,sanitation
Frequent power cuts in Old Bus Stand disrupt businesses and studies. Need immediate repair to transformer. This is causing significant inconvenience to residents.,urgent,electricity
Unauthorized construction at Temple Street violates building regulations and blocks sunlight to nearby homes. Families and elderly are affected. This is an emergency We request a technician visit during office hours.,urgent,civil
Frequent power cuts in Near City Park disrupt businesses and studies. Need immediate repair to transformer. Families and elderly are affected. Routine attention is fine,later,electricity
Delay in issuing building permit for Temple Street stalls legitimate construction. Children and patients are particularly impacted. Urgent action needed,urgent,civil
Public toilets at Block A are unusable and improperly maintained; request cleaning and repair. Routine attention is fine,later,sanitation
Moderate issue observed: streetlight failure at main road. Kindly check.,neutral,roads
Sewage overflow at River Side contaminates street and poses health risks. Children and patients are particularly impacted. This requires immediate attention,urgent,sanitation
Dirty water is coming from the tap in Industrial Area. Suspect contamination near the supply source. Families and elderly are affected.,later,water
Need improvement in streetlight failure at highway.,neutral,roads
Harassment incident reported at River Side; request police action and investigation. This is causing significant inconvenience to residents. Urgent action needed,urgent,crime
A fallen electric pole on River Side poses a danger; urgent fix required. This is causing significant inconvenience to residents. Please fix immediately Please coordinate with the local ward member.,urgent,electricity
Large potholes on Block A are causing accidents and vehicle damage; request resurfacing. Please fix immediately,urgent,roads
Frequent power cuts in Near School disrupt businesses and studies. Need immediate repair to transformer. Local shops are losing business due to this. This requires immediate attention,urgent,electricity
Public toilets at Near School are unusable and improperly maintained; request cleaning and repair. Routine attention is fine,later,sanitation
Traffic signals at Market Area are non-functional leading to congestion and safety issues. Local shops are losing business due to this. This requires immediate attention Please coordinate with the local ward member.,urgent,roads
Urgent complaint regarding streetlight failure. Needs quick attention at market area.,urgent,roads
Frequent power cuts in MG Road disrupt businesses and studies. Need immediate repair to transformer. This is causing significant inconvenience to residents. This is an emergency We request a technician visit during office hours.,urgent,electricity
Immediate action required: hospital medicine shortage in bus stand.,urgent,roads
A fallen electric pole on River Side poses a danger; urgent fix required. Please consider for future maintenance,later,electricity
"Large potholes on Near City Park are causing accidents and vehicle damage; request resurfacing. Local shops are losing business due to this. Not urgent, can wait",later,roads
Suspicious persons and petty crimes reported near Temple Street; streetlights and patrol needed. Children and patients are particularly impacted. Urgent action needed,urgent,crime
Plan to establish solar street lights installation in hospital area can be considered later.,later,roads
"A fallen electric pole on Old Bus Stand poses a danger; urgent fix required. Families and elderly are affected. Not urgent, can wait Please coordinate with the local ward member.",later,electricity
Harassment incident reported at Temple Street; request police action and investigation. Children and patients are particularly impacted. Request to address when possible,neutral,crime
Citizens have requested better hospital medicine shortage in hospital area.,neutral,water
Garbage collection is irregular in Lake Road; heaps of waste attract pests and foul smell. Routine attention is fine We request a technician visit during office hours.,later,sanitation
Citizens have requested better sewage overflow in school zone.,neutral,water
Motorbike snatching occurred at Lake Road; CCTV and quick response required. This is an emergency This has been ongoing for weeks.,urgent,crime
Proposal to improve hospital medicine shortage in town in future plans.,later,roads
Voltage fluctuations are damaging appliances in Old Bus Stand. Request inspection and stabilization of supply. Please take necessary steps,neutral,electricity
"Sewage overflow at Temple Street contaminates street and poses health risks. This is causing significant inconvenience to residents. Not urgent, can wait We request a technician visit during office hours.",later,sanitation
Public toilets at Near City Park are unusable and improperly maintained; request cleaning and repair. Request to address when possible,neutral,sanitation
Suspicious persons and petty crimes reported near Old Bus Stand; streetlights and patrol needed. Local shops are losing business due to this. Please consider for future maintenance We request a technician visit during office hours.,later,crime
The road near MG Road is washed away and is impassable during rains; please repair urgently. Local shops are losing business due to this. Routine attention is fine,later,roads
"Public toilets at 5th Cross are unusable and improperly maintained; request cleaning and repair. Not urgent, can wait",later,sanitation
Unauthorized construction at MG Road violates building regulations and blocks sunlight to nearby homes.,later,civil
Delay in issuing building permit for Old Bus Stand stalls legitimate construction. Children and patients are particularly impacted.,later,civil
Sewage overflow at Lake Road contaminates street and poses health risks. Children and patients are particularly impacted. Please look into this,neutral,sanitation
Street lights are not working on Sector 5 at night causing safety hazards. This is causing significant inconvenience to residents. Please fix immediately This has been ongoing for weeks.,urgent,electricity
"Open drains clogged at MG Road create breeding grounds for mosquitoes. This is causing significant inconvenience to residents. Not urgent, can wait",later,sanitation
Unauthorized construction at River Side violates building regulations and blocks sunlight to nearby homes. Kindly investigate the matter,neutral,civil
Garbage collection is irregular in 5th Cross; heaps of waste attract pests and foul smell. Local shops are losing business due to this.,later,sanitation
Urgent complaint regarding solar street lights installation. Needs quick attention at hospital area.,urgent,roads
Suspicious persons and petty crimes reported near Market Area; streetlights and patrol needed. Local shops are losing business due to this. Please look into this,neutral,crime
Street lights are not working on Temple Street at night causing safety hazards. Children and patients are particularly impacted. Please consider for future maintenance We request a technician visit during office hours.,later,electricity
Open drainns clogged at Lake Road create breeding grounds for mosquitoes. This is causing significant inconvenience to residents.,later,sanitation
Public toilets at 5th Cross are unusable and improperly maintained; request cleaning and repair. Kindly investigate the matter This has been ongoing for weeks.,neutral,sanitation
Voltage fluctuations are damaging appliances in 5th Cross. Request inspection and stabilization of supply. Kindly investigate the matter,neutral,electricity
Traffic signals at Market Area are non-functional leading to congestion and safety issues. Children and patients are particularly impacted. Photos can be provided on request.,later,roads
Immediate action required: construction of bus stand in town.,urgent,civil
Request for new project regarding public toilet maintenance in highway.,later,sanitation
Delay in issuing building permit for Ol dBus Stand stalls legitimate construction. Urgent action needed This has been ongoing for weeks.,urgent,civil
"Public structure at Industrial Area needs inspection and repair; cracks appearing on walls. Children and patients are particularly impacted. Not urgent, can wait We request a technician visit during office hours.",later,civil
Road construction left debris at MG Road. Vehicles are being damaged frequently. Urgent action needed Please coordinate with the local ward member.,urgent,roads
The road near Near School is washed away and is impassable during rains; please repair urgently. Routine attention is fine,later,roads
"Serious problem of need new school in hospital area, kindly resolve immediately.",urgent,water
Voltage fluctutaions are damaging appliances in Near School. Request inspection and stabilization of supply. Urgent action needed,urgent,electricity
"Unauthorized construction at Old Bus Stand violates building regulations and blocks sunlight to nearby homes. This is causing significant inconvenience to residents. Not urgent, can wait This has been ongoing for weeks.",later,civil
Harassment incident reported at Old Bus Stand; request police action and investigation. Families and elderly are affected. This requires immediate attention,urgent,crime
Open drains clogged at Block A create breeding grounds for mosquitoes. Families and elderly are affected. Kindly investigate the matter,neutral,sanitation
Frequent power cuts in Near School disrupt businesses and studies. Need immediate repair to transformer. This is causing significant inconvenience to residents. Kindly investigate the matter,neutral,electricity
Future requirement for sports ground request in town.,later,roads
Traffic signals at Market Area are non-functional leading to congestion and safety issues. Children and patients are particularly impacted. This is an emergency Photos can be provided on request.,urgent,roads
A burst water pipe at Lake Road floods the road and affects nearby homes. This is an emergency,urgent,water
A burst water pipe at Block A floods the road and affects nearby homes. Local shops are losing business due to this. Urgent action needed,urgent,water
"Delay in issuing building permit for Near School stalls legitimate construction. Families and elderly are affected. Not urgent, can wait This has been ongoing for weeks.",later,civil
Street lights are not working on Near City Park at night causing safety hazards. Local shops are losing business due to this. This is an emergency,urgent,electricity
Voltage fluctuations are damaging appliances in MG Road. Request inspection and stabilization of supply. This is an emergency,urgent,electricity
Large potholes on River Side are causing accidents and vehicle damage; request resurfacing. Please look into this,neutral,roads
Public toilets at Industrial Area are unusable and improperly maintained; request cleaning and repair. Local shops are losing business due to this. Please look into this,neutral,sanitation
Future requirement for water supply shortage in village.,later,water
Harassment incident reported at Block A; reqeust police action and investigation. Local shops are losing business due to this. Please look into this,neutral,crime
Public structure at Near City Park needs inspection and repair; cracks appearing on walls. Can be scheduled later We request a technician visit during office hours.,later,civil
Road construction left debris at Lake Road. Vehicles are being damaged frequently. Families and elderly are affected. Please fix immediately,urgent,roads
Open drains clogged at River Side create breeding grounds for mosquitoes. Please look into this,neutral,sanitation
Street lights are not working on 5th Cross at night causing safety hazards. Can be scheduled later This has been ongoing for weeks.,later,electricity
Motorbike snatching occurred at MG Road; CCTV and quick response required. Children and patients are particularly impacted. Can be scheduled later We request a technician visit during office hours.,later,crime
The road near Temple Street is washed away and is impassable during rains; please repair urgently. This requires immediate attention,urgent,roads
Voltage fluctuations are damaging appliances in Sector 5. Request inspection and stabilization of supply. Families and elderly are affected. Request to address when possible Please coordinate with the local ward member.,neutral,electricity
The road near Market Area is washed away and is impassable during rains; please repair urgently. Children and patients are particularly impacted. Please take necessary steps,neutral,roads
Public toilets at Block A are unusable and improperly maintained; request cleaning and repair. Urgent action needed,urgent,sanitation
Motorbike snatching occurred at Temple Street; CCTV and quick response required. Children and patients are particularly impacted.,neutral,crime
A burst water pipe at Old Bus Stand floods the road and affects nearby homes. This is causing significant inconvenience to residents. Please consider for future maintenance,later,water
"Serious problem of sports ground request in town, kindly resolve immediately.",urgent,roads
