text,label,department,pred_dept,pred_conf
Future requirement for need overhead water tank in residential colony.,Later,water,,
Future requirement for need overhead water tank in school zone.,Later,water,,
Future requirement for need overhead water tank in town.,Later,water,,
Future requirement for need overhead water tank in town.,Later,water,,
Future requirement for need overhead water tank in village.,Later,water,,
Future requirement for public toilet maintenance in main road.,Later,roads,,
Future requirement for school building damage in bus stand.,Later,civil,,
Future requirement for school building damage in city.,Later,civil,,
Future requirement for school building damage in city.,Later,civil,,
Future requirement for school building damage in highway.,Later,roads,,
Future requirement for school building damage in hospital area.,Later,civil,,
Future requirement for school building damage in hospital area.,Later,civil,,
Future requirement for school building damage in hospital area.,Later,civil,,
Future requirement for school building damage in hospital area.,Later,civil,,
Future requirement for school building damage in main road.,Later,roads,,
Future requirement for school building damage in market area.,Later,civil,,
Future requirement for school building damage in town.,Later,civil,,
Future requirement for school building damage in village.,Later,civil,,
Future requirement for sewage overflow in city.,Later,water,,
Future requirement for sewage overflow in highway.,Later,water,,
Future requirement for sewage overflow in market area.,Later,water,,
Future requirement for sewage overflow in school zone.,Later,water,,
Future requirement for sewage overflow in school zone.,Later,water,,
Future requirement for sewage overflow in town.,Later,water,,
Future requirement for sewage overflow in village.,Later,water,,
Future requirement for solar street lights installation in highway.,Later,roads,,
Future requirement for solar street lights installation in main road.,Later,roads,,
Future requirement for sports ground request in main road.,Later,roads,,
Future requirement for sports ground request in main road.,Later,roads,,
Future requirement for streetlight failure in highway.,Later,roads,,
Future requirement for water supply shortage in hospital area.,Later,water,,
Future requirement for water supply shortage in market area.,Later,water,,
Future requirement for water supply shortage in residential colony.,Later,water,,
Future requirement for water supply shortage in residential colony.,Later,water,,
Future requirement for water supply shortage in school zone.,Later,water,,
Future requirement for water supply shortage in school zone.,Later,water,,
Future requirement for water supply shortage in town.,Later,water,,
Future requirement for water supply shortage in town.,Later,water,,
Future requirement for water supply shortage in village.,Later,water,,
Long-term development needed: broken road at bus stand.,Later,roads,,
Long-term development needed: broken road at bus stand.,Later,roads,,
Long-term development needed: broken road at residential colony.,Later,roads,,
Long-term development needed: broken road at residential colony.,Later,roads,,
Long-term development needed: broken road at school zone.,Later,roads,,
Long-term development needed: broken road at school zone.,Later,roads,,
Long-term development needed: building public library at bus stand.,Later,civil,,
Long-term development needed: building public library at city.,Later,civil,,
Long-term development needed: building public library at highway.,Later,roads,,
Long-term development needed: building public library at hospital area.,Later,civil,,
Long-term development needed: building public library at main road.,Later,roads,,
Long-term development needed: building public library at main road.,Later,roads,,
Long-term development needed: building public library at market area.,Later,civil,,
Long-term development needed: building public library at school zone.,Later,civil,,
Long-term development needed: building public library at town.,Later,civil,,
Long-term development needed: bus stand crowding at highway.,Later,roads,,
Long-term development needed: bus stand crowding at main road.,Later,roads,,
Long-term development needed: construction of bus stand at main road.,Later,roads,,
Long-term development needed: construction of bus stand at market area.,Later,civil,,
Long-term development needed: construction of bus stand at market area.,Later,civil,,
Long-term development needed: construction of bus stand at town.,Later,civil,,
Long-term development needed: construction of bus stand at village.,Later,civil,,
Long-term development needed: construction of bus stand at village.,Later,civil,,
Long-term development needed: electricity outage at bus stand.,Later,electricity,,
Long-term development needed: electricity outage at city.,Later,electricity,,
Long-term development needed: electricity outage at city.,Later,electricity,,
Long-term development needed: electricity outage at city.,Later,electricity,,
Long-term development needed: electricity outage at main road.,Later,electricity,,
Long-term development needed: electricity outage at residential colony.,Later,electricity,,
Long-term development needed: electricity outage at residential colony.,Later,electricity,,
Long-term development needed: electricity outage at residential colony.,Later,electricity,,
Long-term development needed: electricity outage at school zone.,Later,electricity,,
Long-term development needed: electricity outage at school zone.,Later,electricity,,
Long-term development needed: garbage pileup at bus stand.,Later,sanitation,,
Long-term development needed: garbage pileup at city.,Later,sanitation,,
Long-term development needed: garbage pileup at city.,Later,sanitation,,
Long-term development needed: garbage pileup at main road.,Later,roads,,
Long-term development needed: garbage pileup at main road.,Later,roads,,
Long-term development needed: garbage pileup at market area.,Later,sanitation,,
Long-term development needed: garbage pileup at market area.,Later,sanitation,,
Long-term development needed: garbage pileup at residential colony.,Later,sanitation,,
Long-term development needed: garbage pileup at village.,Later,sanitation,,
Long-term development needed: hospital medicine shortage at highway.,Later,roads,,
Long-term development needed: hospital medicine shortage at highway.,Later,roads,,
Long-term development needed: hospital medicine shortage at highway.,Later,roads,,
Long-term development needed: need new school at highway.,Later,roads,,
Long-term development needed: need new school at main road.,Later,roads,,
Long-term development needed: need overhead water tank at bus stand.,Later,water,,
Long-term development needed: need overhead water tank at city.,Later,water,,
Long-term development needed: need overhead water tank at highway.,Later,water,,
Long-term development needed: need overhead water tank at main road.,Later,water,,
Long-term development needed: need overhead water tank at main road.,Later,water,,
Long-term development needed: need overhead water tank at market area.,Later,water,,
Long-term development needed: need overhead water tank at residential colony.,Later,water,,
Long-term development needed: need overhead water tank at school zone.,Later,water,,
Long-term development needed: need overhead water tank at village.,Later,water,,
Long-term development needed: need overhead water tank at village.,Later,water,,
Long-term development needed: public toilet maintenance at highway.,Later,roads,,
Long-term development needed: public toilet maintenance at highway.,Later,roads,,
Long-term development needed: school building damage at bus stand.,Later,civil,,
Long-term development needed: school building damage at bus stand.,Later,civil,,
Long-term development needed: school building damage at bus stand.,Later,civil,,
Long-term development needed: school building damage at highway.,Later,roads,,
Long-term development needed: school building damage at main road.,Later,roads,,
Long-term development needed: school building damage at market area.,Later,civil,,
Long-term development needed: school building damage at residential colony.,Later,civil,,
Long-term development needed: school building damage at school zone.,Later,civil,,
Long-term development needed: sewage overflow at bus stand.,Later,water,,
Long-term development needed: sewage overflow at highway.,Later,water,,
Long-term development needed: sewage overflow at highway.,Later,water,,
Long-term development needed: sewage overflow at hospital area.,Later,water,,
Long-term development needed: sewage overflow at residential colony.,Later,water,,
Long-term development needed: sewage overflow at residential colony.,Later,water,,
Long-term development needed: sewage overflow at school zone.,Later,water,,
Long-term development needed: solar street lights installation at highway.,Later,roads,,
Long-term development needed: streetlight failure at highway.,Later,roads,,
Long-term development needed: water supply shortage at bus stand.,Later,water,,
Long-term development needed: water supply shortage at city.,Later,water,,
Long-term development needed: water supply shortage at city.,Later,water,,
Long-term development needed: water supply shortage at highway.,Later,water,,
Long-term development needed: water supply shortage at highway.,Later,water,,
Long-term development needed: water supply shortage at hospital area.,Later,water,,
Long-term development needed: water supply shortage at main road.,Later,water,,
Long-term development needed: water supply shortage at main road.,Later,water,,
Long-term development needed: water supply shortage at main road.,Later,water,,
Long-term development needed: water supply shortage at residential colony.,Later,water,,
Long-term development needed: water supply shortage at residential colony.,Later,water,,
Long-term development needed: water supply shortage at town.,Later,water,,
Long-term development needed: water supply shortage at town.,Later,water,,
Long-term development needed: water supply shortage at village.,Later,water,,
Plan to establish broken road in bus stand can be considered later.,Later,roads,,
Plan to establish broken road in hospital area can be considered later.,Later,roads,,
Plan to establish broken road in main road can be considered later.,Later,roads,,
Plan to establish broken road in market area can be considered later.,Later,roads,,
Plan to establish broken road in school zone can be considered later.,Later,roads,,
Plan to establish broken road in town can be considered later.,Later,roads,,
Plan to establish broken road in village can be considered later.,Later,roads,,
Plan to establish broken road in village can be considered later.,Later,roads,,
Plan to establish building public library in city can be considered later.,Later,civil,,
Plan to establish building public library in residential colony can be considered later.,Later,civil,,
Plan to establish building public library in school zone can be considered later.,Later,civil,,
Plan to establish building public library in town can be considered later.,Later,civil,,
Plan to establish bus stand crowding in highway can be considered later.,Later,roads,,
Plan to establish bus stand crowding in highway can be considered later.,Later,roads,,
Plan to establish bus stand crowding in main road can be considered later.,Later,roads,,
Plan to establish bus stand crowding in main road can be considered later.,Later,roads,,
Plan to establish bus stand crowding in main road can be considered later.,Later,roads,,
Plan to establish construction of bus stand in bus stand can be considered later.,Later,civil,,
Plan to establish construction of bus stand in highway can be considered later.,Later,roads,,
Plan to establish construction of bus stand in hospital area can be considered later.,Later,civil,,
Plan to establish construction of bus stand in main road can be considered later.,Later,roads,,
Plan to establish construction of bus stand in market area can be considered later.,Later,civil,,
Plan to establish construction of bus stand in school zone can be considered later.,Later,civil,,
Plan to establish construction of bus stand in town can be considered later.,Later,civil,,
Plan to establish construction of bus stand in village can be considered later.,Later,civil,,
Plan to establish electricity outage in main road can be considered later.,Later,electricity,,
Plan to establish electricity outage in residential colony can be considered later.,Later,electricity,,
Plan to establish electricity outage in residential colony can be considered later.,Later,electricity,,
Plan to establish electricity outage in school zone can be considered later.,Later,electricity,,
Plan to establish electricity outage in town can be considered later.,Later,electricity,,
Plan to establish electricity outage in town can be considered later.,Later,electricity,,
Plan to establish garbage pileup in bus stand can be considered later.,Later,sanitation,,
Plan to establish garbage pileup in city can be considered later.,Later,sanitation,,
Plan to establish garbage pileup in city can be considered later.,Later,sanitation,,
Plan to establish garbage pileup in school zone can be considered later.,Later,sanitation,,
Plan to establish garbage pileup in town can be considered later.,Later,sanitation,,
Plan to establish garbage pileup in village can be considered later.,Later,sanitation,,
Plan to establish hospital medicine shortage in highway can be considered later.,Later,roads,,
Plan to establish hospital medicine shortage in highway can be considered later.,Later,roads,,
Plan to establish need new school in highway can be considered later.,Later,roads,,
Plan to establish need overhead water tank in bus stand can be considered later.,Later,water,,
Plan to establish need overhead water tank in highway can be considered later.,Later,water,,
Plan to establish need overhead water tank in hospital area can be considered later.,Later,water,,
Plan to establish need overhead water tank in hospital area can be considered later.,Later,water,,
Plan to establish need overhead water tank in main road can be considered later.,Later,water,,
Plan to establish need overhead water tank in village can be considered later.,Later,water,,
Plan to establish need overhead water tank in village can be considered later.,Later,water,,
Plan to establish school building damage in city can be considered later.,Later,civil,,
Plan to establish school building damage in highway can be considered later.,Later,roads,,
Plan to establish school building damage in hospital area can be considered later.,Later,civil,,
Plan to establish school building damage in main road can be considered later.,Later,roads,,
Plan to establish school building damage in market area can be considered later.,Later,civil,,
Plan to establish school building damage in market area can be considered later.,Later,civil,,
Plan to establish school building damage in residential colony can be considered later.,Later,civil,,
Plan to establish school building damage in residential colony can be considered later.,Later,civil,,
Plan to establish school building damage in residential colony can be considered later.,Later,civil,,
Plan to establish school building damage in school zone can be considered later.,Later,civil,,
Plan to establish school building damage in town can be considered later.,Later,civil,,
Plan to establish school building damage in town can be considered later.,Later,civil,,
Plan to establish school building damage in village can be considered later.,Later,civil,,
Plan to establish school building damage in village can be considered later.,Later,civil,,
Plan to establish sewage overflow in bus stand can be considered later.,Later,water,,
Plan to establish sewage overflow in bus stand can be considered later.,Later,water,,
Plan to establish sewage overflow in city can be considered later.,Later,water,,
Plan to establish sewage overflow in highway can be considered later.,Later,water,,
Plan to establish sewage overflow in highway can be considered later.,Later,water,,
Plan to establish sewage overflow in highway can be considered later.,Later,water,,
Plan to establish sewage overflow in market area can be considered later.,Later,water,,
Plan to establish sewage overflow in residential colony can be considered later.,Later,water,,
Plan to establish sewage overflow in school zone can be considered later.,Later,water,,
Plan to establish sewage overflow in town can be considered later.,Later,water,,
Plan to establish sewage overflow in village can be considered later.,Later,water,,
Plan to establish sewage overflow in village can be considered later.,Later,water,,
Plan to establish solar street lights installation in highway can be considered later.,Later,roads,,
Plan to establish sports ground request in highway can be considered later.,Later,roads,,
Plan to establish water supply shortage in bus stand can be considered later.,Later,water,,
Plan to establish water supply shortage in city can be considered later.,Later,water,,
Plan to establish water supply shortage in hospital area can be considered later.,Later,water,,
Plan to establish water supply shortage in hospital area can be considered later.,Later,water,,
Plan to establish water supply shortage in main road can be considered later.,Later,water,,
Plan to establish water supply shortage in market area can be considered later.,Later,water,,
Proposal to improve broken road in city in future plans.,Later,roads,,
Proposal to improve broken road in highway in future plans.,Later,roads,,
Proposal to improve broken road in hospital area in future plans.,Later,roads,,
Proposal to improve broken road in main road in future plans.,Later,roads,,
Proposal to improve broken road in main road in future plans.,Later,roads,,
Proposal to improve broken road in main road in future plans.,Later,roads,,
Proposal to improve broken road in market area in future plans.,Later,roads,,
Proposal to improve broken road in residential colony in future plans.,Later,roads,,
Proposal to improve broken road in town in future plans.,Later,roads,,
Proposal to improve building public library in city in future plans.,Later,civil,,
Proposal to improve building public library in market area in future plans.,Later,civil,,
Proposal to improve building public library in market area in future plans.,Later,civil,,
Proposal to improve building public library in residential colony in future plans.,Later,civil,,
Proposal to improve building public library in residential colony in future plans.,Later,civil,,
Proposal to improve building public library in town in future plans.,Later,civil,,
Proposal to improve building public library in village in future plans.,Later,civil,,
Proposal to improve construction of bus stand in bus stand in future plans.,Later,civil,,
Proposal to improve construction of bus stand in bus stand in future plans.,Later,civil,,
Proposal to improve construction of bus stand in city in future plans.,Later,civil,,
Proposal to improve construction of bus stand in city in future plans.,Later,civil,,
Proposal to improve construction of bus stand in highway in future plans.,Later,roads,,
Proposal to improve construction of bus stand in highway in future plans.,Later,roads,,
Proposal to improve construction of bus stand in market area in future plans.,Later,civil,,
Proposal to improve construction of bus stand in town in future plans.,Later,civil,,
Proposal to improve construction of bus stand in town in future plans.,Later,civil,,
Proposal to improve electricity outage in highway in future plans.,Later,electricity,,
Proposal to improve electricity outage in main road in future plans.,Later,electricity,,
Proposal to improve electricity outage in main road in future plans.,Later,electricity,,
Proposal to improve electricity outage in market area in future plans.,Later,electricity,,
Proposal to improve electricity outage in residential colony in future plans.,Later,electricity,,
Proposal to improve electricity outage in school zone in future plans.,Later,electricity,,
Proposal to improve electricity outage in town in future plans.,Later,electricity,,
Proposal to improve electricity outage in town in future plans.,Later,electricity,,
Proposal to improve garbage pileup in bus stand in future plans.,Later,sanitation,,
Proposal to improve garbage pileup in market area in future plans.,Later,sanitation,,
Proposal to improve garbage pileup in school zone in future plans.,Later,sanitation,,
Proposal to improve garbage pileup in town in future plans.,Later,sanitation,,
Proposal to improve hospital medicine shortage in highway in future plans.,Later,roads,,
Proposal to improve hospital medicine shortage in highway in future plans.,Later,roads,,
Proposal to improve need new school in highway in future plans.,Later,roads,,
Proposal to improve need new school in main road in future plans.,Later,roads,,
Proposal to improve need overhead water tank in bus stand in future plans.,Later,water,,
Proposal to improve need overhead water tank in city in future plans.,Later,water,,
Proposal to improve need overhead water tank in city in future plans.,Later,water,,
Proposal to improve need overhead water tank in highway in future plans.,Later,water,,
Proposal to improve need overhead water tank in main road in future plans.,Later,water,,
Proposal to improve need overhead water tank in market area in future plans.,Later,water,,
Proposal to improve need overhead water tank in market area in future plans.,Later,water,,
Proposal to improve need overhead water tank in market area in future plans.,Later,water,,
Proposal to improve need overhead water tank in residential colony in future plans.,Later,water,,
Proposal to improve need overhead water tank in school zone in future plans.,Later,water,,
Proposal to improve need overhead water tank in school zone in future plans.,Later,water,,
Proposal to improve need overhead water tank in school zone in future plans.,Later,water,,
Proposal to improve public toilet maintenance in main road in future plans.,Later,roads,,
Proposal to improve school building damage in bus stand in future plans.,Later,civil,,
Proposal to improve school building damage in city in future plans.,Later,civil,,
Proposal to improve school building damage in hospital area in future plans.,Later,civil,,
Proposal to improve school building damage in school zone in future plans.,Later,civil,,
Proposal to improve school building damage in village in future plans.,Later,civil,,
Proposal to improve sewage overflow in city in future plans.,Later,water,,
Proposal to improve sewage overflow in city in future plans.,Later,water,,
Proposal to improve sewage overflow in highway in future plans.,Later,water,,
Proposal to improve sewage overflow in highway in future plans.,Later,water,,
Proposal to improve sewage overflow in highway in future plans.,Later,water,,
Proposal to improve sewage overflow in market area in future plans.,Later,water,,
Proposal to improve sewage overflow in market area in future plans.,Later,water,,
Proposal to improve sewage overflow in market area in future plans.,Later,water,,
Proposal to improve sewage overflow in school zone in future plans.,Later,water,,
Proposal to improve sewage overflow in school zone in future plans.,Later,water,,
Proposal to improve sewage overflow in school zone in future plans.,Later,water,,
Proposal to improve sewage overflow in town in future plans.,Later,water,,
Proposal to improve sewage overflow in village in future plans.,Later,water,,
Proposal to improve solar street lights installation in main road in future plans.,Later,roads,,
Proposal to improve sports ground request in main road in future plans.,Later,roads,,
Proposal to improve streetlight failure in highway in future plans.,Later,roads,,
Proposal to improve water supply shortage in bus stand in future plans.,Later,water,,
Proposal to improve water supply shortage in bus stand in future plans.,Later,water,,
Proposal to improve water supply shortage in city in future plans.,Later,water,,
Proposal to improve water supply shortage in market area in future plans.,Later,water,,
Proposal to improve water supply shortage in market area in future plans.,Later,water,,
Proposal to improve water supply shortage in market area in future plans.,Later,water,,
Proposal to improve water supply shortage in school zone in future plans.,Later,water,,
Proposal to improve water supply shortage in school zone in future plans.,Later,water,,
Proposal to improve water supply shortage in village in future plans.,Later,water,,
Request for new project regarding broken road in bus stand.,Later,roads,,
Request for new project regarding broken road in bus stand.,Later,roads,,
Request for new project regarding broken road in city.,Later,roads,,
Request for new project regarding broken road in highway.,Later,roads,,
Request for new project regarding broken road in highway.,Later,roads,,
Request for new project regarding broken road in highway.,Later,roads,,
Request for new project regarding broken road in highway.,Later,roads,,
Request for new project regarding broken road in highway.,Later,roads,,
Request for new project regarding broken road in main road.,Later,roads,,
Request for new project regarding broken road in main road.,Later,roads,,
Request for new project regarding broken road in residential colony.,Later,roads,,
Request for new project regarding broken road in residential colony.,Later,roads,,
Request for new project regarding building public library in highway.,Later,roads,,
Request for new project regarding building public library in hospital area.,Later,civil,,
Request for new project regarding building public library in market area.,Later,civil,,
Request for new project regarding building public library in town.,Later,civil,,
Request for new project regarding bus stand crowding in highway.,Later,roads,,
Request for new project regarding bus stand crowding in highway.,Later,roads,,
Request for new project regarding bus stand crowding in main road.,Later,roads,,
Request for new project regarding construction of bus stand in city.,Later,civil,,
Request for new project regarding construction of bus stand in highway.,Later,roads,,
Request for new project regarding construction of bus stand in highway.,Later,roads,,
Request for new project regarding construction of bus stand in highway.,Later,roads,,
Request for new project regarding construction of bus stand in school zone.,Later,civil,,
Request for new project regarding construction of bus stand in school zone.,Later,civil,,
Request for new project regarding construction of bus stand in school zone.,Later,civil,,
Request for new project regarding construction of bus stand in town.,Later,civil,,
Request for new project regarding construction of bus stand in town.,Later,civil,,
Request for new project regarding construction of bus stand in village.,Later,civil,,
Request for new project regarding electricity outage in city.,Later,electricity,,
Request for new project regarding electricity outage in highway.,Later,electricity,,
Request for new project regarding electricity outage in highway.,Later,electricity,,
Request for new project regarding electricity outage in highway.,Later,electricity,,
Request for new project regarding electricity outage in hospital area.,Later,electricity,,
Request for new project regarding electricity outage in main road.,Later,electricity,,
Request for new project regarding electricity outage in town.,Later,electricity,,
Request for new project regarding electricity outage in town.,Later,electricity,,
Request for new project regarding garbage pileup in city.,Later,sanitation,,
Request for new project regarding garbage pileup in city.,Later,sanitation,,
Request for new project regarding garbage pileup in city.,Later,sanitation,,
Request for new project regarding garbage pileup in highway.,Later,roads,,
Request for new project regarding garbage pileup in main road.,Later,roads,,
Request for new project regarding garbage pileup in main road.,Later,roads,,
Request for new project regarding garbage pileup in market area.,Later,sanitation,,
Request for new project regarding garbage pileup in school zone.,Later,sanitation,,
Request for new project regarding garbage pileup in town.,Later,sanitation,,
Request for new project regarding garbage pileup in village.,Later,sanitation,,
Request for new project regarding hospital medicine shortage in main road.,Later,roads,,
Request for new project regarding need new school in highway.,Later,roads,,
Request for new project regarding need overhead water tank in bus stand.,Later,water,,
Request for new project regarding need overhead water tank in city.,Later,water,,
Request for new project regarding need overhead water tank in city.,Later,water,,
Request for new project regarding need overhead water tank in hospital area.,Later,water,,
Request for new project regarding need overhead water tank in hospital area.,Later,water,,
Request for new project regarding need overhead water tank in main road.,Later,water,,
Request for new project regarding need overhead water tank in market area.,Later,water,,
Request for new project regarding need overhead water tank in school zone.,Later,water,,
Request for new project regarding public toilet maintenance in highway.,Later,roads,,
Request for new project regarding public toilet maintenance in main road.,Later,roads,,
Request for new project regarding school building damage in city.,Later,civil,,
Request for new project regarding school building damage in highway.,Later,roads,,
Request for new project regarding school building damage in main road.,Later,roads,,
Request for new project regarding school building damage in market area.,Later,civil,,
Request for new project regarding school building damage in market area.,Later,civil,,
Request for new project regarding school building damage in residential colony.,Later,civil,,
Request for new project regarding school building damage in village.,Later,civil,,
Request for new project regarding sewage overflow in bus stand.,Later,water,,
Request for new project regarding sewage overflow in highway.,Later,water,,
Request for new project regarding sewage overflow in hospital area.,Later,water,,
Request for new project regarding sewage overflow in hospital area.,Later,water,,
Request for new project regarding sewage overflow in hospital area.,Later,water,,
Request for new project regarding sewage overflow in market area.,Later,water,,
Request for new project regarding sewage overflow in residential colony.,Later,water,,
Request for new project regarding sewage overflow in residential colony.,Later,water,,
Request for new project regarding sewage overflow in town.,Later,water,,
Request for new project regarding sewage overflow in village.,Later,water,,
Request for new project regarding solar street lights installation in main road.,Later,roads,,
Request for new project regarding solar street lights installation in main road.,Later,roads,,
Request for new project regarding solar street lights installation in main road.,Later,roads,,
Request for new project regarding water supply shortage in hospital area.,Later,water,,
Request for new project regarding water supply shortage in hospital area.,Later,water,,
Request for new project regarding water supply shortage in main road.,Later,water,,
Request for new project regarding water supply shortage in main road.,Later,water,,
Request for new project regarding water supply shortage in residential colony.,Later,water,,
Request for new project regarding water supply shortage in school zone.,Later,water,,
Request for new project regarding water supply shortage in village.,Later,water,,
Citizens have requested better broken road in bus stand.,Neutral,roads,,
Citizens have requested better broken road in main road.,Neutral,roads,,
Citizens have requested better broken road in market area.,Neutral,roads,,
Citizens have requested better broken road in school zone.,Neutral,roads,,
Citizens have requested better broken road in school zone.,Neutral,roads,,
Citizens have requested better broken road in town.,Neutral,roads,,
Citizens have requested better broken road in town.,Neutral,roads,,
Citizens have requested better broken road in village.,Neutral,roads,,
Citizens have requested better building public library in highway.,Neutral,roads,,
Citizens have requested better building public library in main road.,Neutral,roads,,
Citizens have requested better building public library in school zone.,Neutral,civil,,
Citizens have requested better building public library in town.,Neutral,civil,,
Citizens have requested better building public library in village.,Neutral,civil,,
Citizens have requested better construction of bus stand in bus stand.,Neutral,civil,,
Citizens have requested better construction of bus stand in city.,Neutral,civil,,
Citizens have requested better construction of bus stand in highway.,Neutral,roads,,
Citizens have requested better construction of bus stand in highway.,Neutral,roads,,
Citizens have requested better construction of bus stand in main road.,Neutral,roads,,
Citizens have requested better construction of bus stand in market area.,Neutral,civil,,
Citizens have requested better construction of bus stand in school zone.,Neutral,civil,,
Citizens have requested better construction of bus stand in town.,Neutral,civil,,
Citizens have requested better electricity outage in bus stand.,Neutral,electricity,,
Citizens have requested better electricity outage in bus stand.,Neutral,electricity,,
Citizens have requested better electricity outage in city.,Neutral,electricity,,
Citizens have requested better electricity outage in highway.,Neutral,electricity,,
Citizens have requested better electricity outage in highway.,Neutral,electricity,,
Citizens have requested better electricity outage in main road.,Neutral,electricity,,
Citizens have requested better electricity outage in main road.,Neutral,electricity,,
Citizens have requested better electricity outage in market area.,Neutral,electricity,,
Citizens have requested better electricity outage in market area.,Neutral,electricity,,
Citizens have requested better electricity outage in residential colony.,Neutral,electricity,,
Citizens have requested better electricity outage in school zone.,Neutral,electricity,,
Citizens have requested better electricity outage in village.,Neutral,electricity,,
Citizens have requested better garbage pileup in city.,Neutral,sanitation,,
Citizens have requested better garbage pileup in hospital area.,Neutral,sanitation,,
Citizens have requested better garbage pileup in market area.,Neutral,sanitation,,
Citizens have requested better garbage pileup in town.,Neutral,sanitation,,
Citizens have requested better need new school in main road.,Neutral,roads,,
Citizens have requested better need overhead water tank in bus stand.,Neutral,water,,
Citizens have requested better need overhead water tank in bus stand.,Neutral,water,,
Citizens have requested better need overhead water tank in city.,Neutral,water,,
Citizens have requested better need overhead water tank in city.,Neutral,water,,
Citizens have requested better need overhead water tank in city.,Neutral,water,,
Citizens have requested better need overhead water tank in hospital area.,Neutral,water,,
Citizens have requested better need overhead water tank in market area.,Neutral,water,,
Citizens have requested better need overhead water tank in market area.,Neutral,water,,
Citizens have requested better need overhead water tank in market area.,Neutral,water,,
Citizens have requested better need overhead water tank in town.,Neutral,water,,
Citizens have requested better public toilet maintenance in main road.,Neutral,roads,,
Citizens have requested better school building damage in bus stand.,Neutral,civil,,
Citizens have requested better school building damage in hospital area.,Neutral,civil,,
Citizens have requested better school building damage in main road.,Neutral,roads,,
Citizens have requested better school building damage in main road.,Neutral,roads,,
Citizens have requested better school building damage in residential colony.,Neutral,civil,,
Citizens have requested better school building damage in residential colony.,Neutral,civil,,
Citizens have requested better school building damage in school zone.,Neutral,civil,,
Citizens have requested better school building damage in school zone.,Neutral,civil,,
Citizens have requested better school building damage in town.,Neutral,civil,,
Citizens have requested better school building damage in town.,Neutral,civil,,
Citizens have requested better school building damage in village.,Neutral,civil,,
Citizens have requested better sewage overflow in bus stand.,Neutral,water,,
Citizens have requested better sewage overflow in bus stand.,Neutral,water,,
Citizens have requested better sewage overflow in bus stand.,Neutral,water,,
Citizens have requested better sewage overflow in highway.,Neutral,water,,
Citizens have requested better sewage overflow in highway.,Neutral,water,,
Citizens have requested better sewage overflow in hospital area.,Neutral,water,,
Citizens have requested better sewage overflow in hospital area.,Neutral,water,,
Citizens have requested better sewage overflow in hospital area.,Neutral,water,,
Citizens have requested better sewage overflow in hospital area.,Neutral,water,,
Citizens have requested better sewage overflow in main road.,Neutral,water,,
Citizens have requested better sewage overflow in main road.,Neutral,water,,
Citizens have requested better sewage overflow in main road.,Neutral,water,,
Citizens have requested better sewage overflow in market area.,Neutral,water,,
Citizens have requested better sewage overflow in residential colony.,Neutral,water,,
Citizens have requested better sewage overflow in school zone.,Neutral,water,,
Citizens have requested better sewage overflow in town.,Neutral,water,,
Citizens have requested better sewage overflow in town.,Neutral,water,,
Citizens have requested better solar street lights installation in highway.,Neutral,roads,,
Citizens have requested better solar street lights installation in highway.,Neutral,roads,,
Citizens have requested better solar street lights installation in highway.,Neutral,roads,,
Citizens have requested better sports ground request in highway.,Neutral,roads,,
Citizens have requested better water supply shortage in bus stand.,Neutral,water,,
Citizens have requested better water supply shortage in city.,Neutral,water,,
