text,label
Long-term development needed: streetlight failure at residential colony.,Later
Long-term development needed: streetlight failure at village.,Later
Long-term development needed: water supply shortage at bus stand.,Later
Long-term development needed: water supply shortage at city.,Later
Long-term development needed: water supply shortage at city.,Later
Long-term development needed: water supply shortage at highway.,Later
Long-term development needed: water supply shortage at highway.,Later
Long-term development needed: water supply shortage at hospital area.,Later
Long-term development needed: water supply shortage at main road.,Later
Long-term development needed: water supply shortage at main road.,Later
Long-term development needed: water supply shortage at main road.,Later
Long-term development needed: water supply shortage at residential colony.,Later
Long-term development needed: water supply shortage at residential colony.,Later
Long-term development needed: water supply shortage at town.,Later
Long-term development needed: water supply shortage at town.,Later
Long-term development needed: water supply shortage at village.,Later
Plan to establish broken road in bus stand can be considered later.,Later
Plan to establish broken road in hospital area can be considered later.,Later
Plan to establish broken road in main road can be considered later.,Later
Plan to establish broken road in market area can be considered later.,Later
Plan to establish broken road in school zone can be considered later.,Later
Plan to establish broken road in town can be considered later.,Later
Plan to establish broken road in village can be considered later.,Later
Plan to establish broken road in village can be considered later.,Later
Plan to establish building public library in city can be considered later.,Later
Plan to establish building public library in residential colony can be considered later.,Later
Plan to establish building public library in school zone can be considered later.,Later
Plan to establish building public library in town can be considered later.,Later
Plan to establish bus stand crowding in city can be considered later.,Later
Plan to establish bus stand crowding in highway can be considered later.,Later
Plan to establish bus stand crowding in highway can be considered later.,Later
Plan to establish bus stand crowding in hospital area can be considered later.,Later
Plan to establish bus stand crowding in main road can be considered later.,Later
Plan to establish bus stand crowding in main road can be considered later.,Later
Plan to establish bus stand crowding in main road can be considered later.,Later
Plan to establish bus stand crowding in market area can be considered later.,Later
Plan to establish bus stand crowding in market area can be considered later.,Later
Plan to establish bus stand crowding in residential colony can be considered later.,Later
Plan to establish bus stand crowding in residential colony can be considered later.,Later
Plan to establish bus stand crowding in town can be considered later.,Later
Plan to establish bus stand crowding in town can be considered later.,Later
Plan to establish construction of bus stand in bus stand can be considered later.,Later
Plan to establish construction of bus stand in highway can be considered later.,Later
Plan to establish construction of bus stand in hospital area can be considered later.,Later
Plan to establish construction of bus stand in main road can be considered later.,Later
Plan to establish construction of bus stand in market area can be considered later.,Later
Plan to establish construction of bus stand in school zone can be considered later.,Later
Plan to establish construction of bus stand in town can be considered later.,Later
Plan to establish construction of bus stand in village can be considered later.,Later
Plan to establish electricity outage in main road can be considered later.,Later
Plan to establish electricity outage in residential colony can be considered later.,Later
Plan to establish electricity outage in residential colony can be considered later.,Later
Plan to establish electricity outage in school zone can be considered later.,Later
Plan to establish electricity outage in town can be considered later.,Later
Plan to establish electricity outage in town can be considered later.,Later
Plan to establish garbage pileup in bus stand can be considered later.,Later
Plan to establish garbage pileup in city can be considered later.,Later
Plan to establish garbage pileup in city can be considered later.,Later
Plan to establish garbage pileup in school zone can be considered later.,Later
Plan to establish garbage pileup in town can be considered later.,Later
Plan to establish garbage pileup in village can be considered later.,Later
Plan to establish hospital medicine shortage in highway can be considered later.,Later
Plan to establish hospital medicine shortage in highway can be considered later.,Later
Plan to establish hospital medicine shortage in hospital area can be considered later.,Later
Plan to establish hospital medicine shortage in residential colony can be considered later.,Later
Plan to establish hospital medicine shortage in school zone can be considered later.,Later
Plan to establish hospital medicine shortage in village can be considered later.,Later
Plan to establish need new school in bus stand can be considered later.,Later
Plan to establish need new school in highway can be considered later.,Later
Plan to establish need new school in hospital area can be considered later.,Later
Plan to establish need new school in residential colony can be considered later.,Later
Plan to establish need new school in town can be considered later.,Later
Plan to establish need new school in town can be considered later.,Later
Plan to establish need new school in town can be considered later.,Later
Plan to establish need new school in town can be considered later.,Later
Plan to establish need new school in town can be considered later.,Later
Plan to establish need new school in village can be considered later.,Later
Plan to establish need overhead water tank in bus stand can be considered later.,Later
Plan to establish need overhead water tank in highway can be considered later.,Later
Plan to establish need overhead water tank in hospital area can be considered later.,Later
Plan to establish need overhead water tank in hospital area can be considered later.,Later
Plan to establish need overhead water tank in main road can be considered later.,Later
Plan to establish need overhead water tank in village can be considered later.,Later
Plan to establish need overhead water tank in village can be considered later.,Later
Plan to establish public toilet maintenance in bus stand can be considered later.,Later
Plan to establish public toilet maintenance in town can be considered later.,Later
Plan to establish public toilet maintenance in town can be considered later.,Later
Plan to establish public toilet maintenance in village can be considered later.,Later
Plan to establish school building damage in city can be considered later.,Later
Plan to establish school building damage in highway can be considered later.,Later
Plan to establish school building damage in hospital area can be considered later.,Later
Plan to establish school building damage in main road can be considered later.,Later
Plan to establish school building damage in market area can be considered later.,Later
Plan to establish school building damage in market area can be considered later.,Later
Plan to establish school building damage in residential colony can be considered later.,Later
Plan to establish school building damage in residential colony can be considered later.,Later
Plan to establish school building damage in residential colony can be considered later.,Later
Plan to establish school building damage in school zone can be considered later.,Later
Plan to establish school building damage in town can be considered later.,Later
Plan to establish school building damage in town can be considered later.,Later
Plan to establish school building damage in village can be considered later.,Later
Plan to establish school building damage in village can be considered later.,Later
Plan to establish sewage overflow in bus stand can be considered later.,Later
Plan to establish sewage overflow in bus stand can be considered later.,Later
Plan to establish sewage overflow in city can be considered later.,Later
Plan to establish sewage overflow in highway can be considered later.,Later
Plan to establish sewage overflow in highway can be considered later.,Later
Plan to establish sewage overflow in highway can be considered later.,Later
Plan to establish sewage overflow in market area can be considered later.,Later
Plan to establish sewage overflow in residential colony can be considered later.,Later
Plan to establish sewage overflow in school zone can be considered later.,Later
Plan to establish sewage overflow in town can be considered later.,Later
Plan to establish sewage overflow in village can be considered later.,Later
Plan to establish sewage overflow in village can be considered later.,Later
Plan to establish solar street lights installation in city can be considered later.,Later
Plan to establish solar street lights installation in highway can be considered later.,Later
Plan to establish solar street lights installation in hospital area can be considered later.,Later
Plan to establish solar street lights installation in market area can be considered later.,Later
Plan to establish solar street lights installation in residential colony can be considered later.,Later
Plan to establish solar street lights installation in residential colony can be considered later.,Later
Plan to establish solar street lights installation in school zone can be considered later.,Later
Plan to establish solar street lights installation in town can be considered later.,Later
Plan to establish solar street lights installation in town can be considered later.,Later
Plan to establish sports ground request in bus stand can be considered later.,Later
Plan to establish sports ground request in highway can be considered later.,Later
Plan to establish sports ground request in hospital area can be considered later.,Later
Plan to establish sports ground request in residential colony can be considered later.,Later
Plan to establish sports ground request in village can be considered later.,Later
Plan to establish sports ground request in village can be considered later.,Later
Plan to establish streetlight failure in hospital area can be considered later.,Later
Plan to establish streetlight failure in hospital area can be considered later.,Later
Plan to establish streetlight failure in market area can be considered later.,Later
Plan to establish streetlight failure in market area can be considered later.,Later
Plan to establish streetlight failure in market area can be considered later.,Later
Plan to establish water supply shortage in bus stand can be considered later.,Later
Plan to establish water supply shortage in city can be considered later.,Later
Plan to establish water supply shortage in hospital area can be considered later.,Later
Plan to establish water supply shortage in hospital area can be considered later.,Later
Plan to establish water supply shortage in main road can be considered later.,Later
Plan to establish water supply shortage in market area can be considered later.,Later
Proposal to improve broken road in city in future plans.,Later
Proposal to improve broken road in highway in future plans.,Later
Proposal to improve broken road in hospital area in future plans.,Later
Proposal to improve broken road in main road in future plans.,Later
Proposal to improve broken road in main road in future plans.,Later
Proposal to improve broken road in main road in future plans.,Later
Proposal to improve broken road in market area in future plans.,Later
Proposal to improve broken road in residential colony in future plans.,Later
Proposal to improve broken road in town in future plans.,Later
Proposal to improve building public library in city in future plans.,Later
Proposal to improve building public library in market area in future plans.,Later
Proposal to improve building public library in market area in future plans.,Later
Proposal to improve building public library in residential colony in future plans.,Later
Proposal to improve building public library in residential colony in future plans.,Later
Proposal to improve building public library in town in future plans.,Later
Proposal to improve building public library in village in future plans.,Later
Proposal to improve bus stand crowding in bus stand in future plans.,Later
Proposal to improve bus stand crowding in residential colony in future plans.,Later
Proposal to improve bus stand crowding in village in future plans.,Later
Proposal to improve construction of bus stand in bus stand in future plans.,Later
Proposal to improve construction of bus stand in bus stand in future plans.,Later
Proposal to improve construction of bus stand in city in future plans.,Later
Proposal to improve construction of bus stand in city in future plans.,Later
Proposal to improve construction of bus stand in highway in future plans.,Later
Proposal to improve construction of bus stand in highway in future plans.,Later
Proposal to improve construction of bus stand in market area in future plans.,Later
Proposal to improve construction of bus stand in town in future plans.,Later
Proposal to improve construction of bus stand in town in future plans.,Later
Proposal to improve electricity outage in highway in future plans.,Later
Proposal to improve electricity outage in main road in future plans.,Later
Proposal to improve electricity outage in main road in future plans.,Later
Proposal to improve electricity outage in market area in future plans.,Later
Proposal to improve electricity outage in residential colony in future plans.,Later
Proposal to improve electricity outage in school zone in future plans.,Later
Proposal to improve electricity outage in town in future plans.,Later
Proposal to improve electricity outage in town in future plans.,Later
Proposal to improve garbage pileup in bus stand in future plans.,Later
Proposal to improve garbage pileup in market area in future plans.,Later
Proposal to improve garbage pileup in school zone in future plans.,Later
Proposal to improve garbage pileup in town in future plans.,Later
Proposal to improve hospital medicine shortage in bus stand in future plans.,Later
Proposal to improve hospital medicine shortage in city in future plans.,Later
Proposal to improve hospital medicine shortage in highway in future plans.,Later
Proposal to improve hospital medicine shortage in highway in future plans.,Later
Proposal to improve hospital medicine shortage in hospital area in future plans.,Later
Proposal to improve hospital medicine shortage in hospital area in future plans.,Later
Proposal to improve hospital medicine shortage in residential colony in future plans.,Later
Proposal to improve hospital medicine shortage in town in future plans.,Later
Proposal to improve hospital medicine shortage in village in future plans.,Later
Proposal to improve hospital medicine shortage in village in future plans.,Later
Proposal to improve need new school in bus stand in future plans.,Later
Proposal to improve need new school in bus stand in future plans.,Later
Proposal to improve need new school in highway in future plans.,Later
Proposal to improve need new school in hospital area in future plans.,Later
Proposal to improve need new school in hospital area in future plans.,Later
Proposal to improve need new school in main road in future plans.,Later
Proposal to improve need new school in market area in future plans.,Later
Proposal to improve need new school in residential colony in future plans.,Later
Proposal to improve need new school in town in future plans.,Later
Proposal to improve need new school in town in future plans.,Later
Proposal to improve need new school in village in future plans.,Later
Proposal to improve need overhead water tank in bus stand in future plans.,Later
Proposal to improve need overhead water tank in city in future plans.,Later
Proposal to improve need overhead water tank in city in future plans.,Later
Proposal to improve need overhead water tank in highway in future plans.,Later
Proposal to improve need overhead water tank in main road in future plans.,Later
Proposal to improve need overhead water tank in market area in future plans.,Later
Proposal to improve need overhead water tank in market area in future plans.,Later
Proposal to improve need overhead water tank in market area in future plans.,Later
Proposal to improve need overhead water tank in residential colony in future plans.,Later
Proposal to improve need overhead water tank in school zone in future plans.,Later
Proposal to improve need overhead water tank in school zone in future plans.,Later
Proposal to improve need overhead water tank in school zone in future plans.,Later
Proposal to improve public toilet maintenance in bus stand in future plans.,Later
Proposal to improve public toilet maintenance in bus stand in future plans.,Later
Proposal to improve public toilet maintenance in city in future plans.,Later
Proposal to improve public toilet maintenance in city in future plans.,Later
Proposal to improve public toilet maintenance in hospital area in future plans.,Later
Proposal to improve public toilet maintenance in main road in future plans.,Later
Proposal to improve public toilet maintenance in market area in future plans.,Later
Proposal to improve public toilet maintenance in market area in future plans.,Later
Proposal to improve public toilet maintenance in town in future plans.,Later
Proposal to improve public toilet maintenance in village in future plans.,Later
Proposal to improve school building damage in bus stand in future plans.,Later
Proposal to improve school building damage in city in future plans.,Later
Proposal to improve school building damage in hospital area in future plans.,Later
Proposal to improve school building damage in school zone in future plans.,Later
Proposal to improve school building damage in village in future plans.,Later
Proposal to improve sewage overflow in city in future plans.,Later
Proposal to improve sewage overflow in city in future plans.,Later
Proposal to improve sewage overflow in highway in future plans.,Later
Proposal to improve sewage overflow in highway in future plans.,Later
Proposal to improve sewage overflow in highway in future plans.,Later
Proposal to improve sewage overflow in market area in future plans.,Later
Proposal to improve sewage overflow in market area in future plans.,Later
Proposal to improve sewage overflow in market area in future plans.,Later
Proposal to improve sewage overflow in school zone in future plans.,Later
Proposal to improve sewage overflow in school zone in future plans.,Later
Proposal to improve sewage overflow in school zone in future plans.,Later
Proposal to improve sewage overflow in town in future plans.,Later
Proposal to improve sewage overflow in village in future plans.,Later
Proposal to improve solar street lights installation in hospital area in future plans.,Later
Proposal to improve solar street lights installation in main road in future plans.,Later
Proposal to improve solar street lights installation in market area in future plans.,Later
Proposal to improve sports ground request in bus stand in future plans.,Later
Proposal to improve sports ground request in city in future plans.,Later
Proposal to improve sports ground request in city in future plans.,Later
Proposal to improve sports ground request in hospital area in future plans.,Later
Proposal to improve sports ground request in main road in future plans.,Later
Proposal to improve sports ground request in town in future plans.,Later
Proposal to improve streetlight failure in highway in future plans.,Later
Proposal to improve streetlight failure in hospital area in future plans.,Later
Proposal to improve streetlight failure in market area in future plans.,Later
Proposal to improve streetlight failure in school zone in future plans.,Later
Proposal to improve streetlight failure in school zone in future plans.,Later
Proposal to improve streetlight failure in village in future plans.,Later
Proposal to improve water supply shortage in bus stand in future plans.,Later
Proposal to improve water supply shortage in bus stand in future plans.,Later
Proposal to improve water supply shortage in city in future plans.,Later
Proposal to improve water supply shortage in market area in future plans.,Later
Proposal to improve water supply shortage in market area in future plans.,Later
Proposal to improve water supply shortage in market area in future plans.,Later
Proposal to improve water supply shortage in school zone in future plans.,Later
Proposal to improve water supply shortage in school zone in future plans.,Later
Proposal to improve water supply shortage in village in future plans.,Later
Request for new project regarding broken road in bus stand.,Later
Request for new project regarding broken road in bus stand.,Later
Request for new project regarding broken road in city.,Later
Request for new project regarding broken road in highway.,Later
Request for new project regarding broken road in highway.,Later
Request for new project regarding broken road in highway.,Later
Request for new project regarding broken road in highway.,Later
Request for new project regarding broken road in highway.,Later
Request for new project regarding broken road in main road.,Later
Request for new project regarding broken road in main road.,Later
Request for new project regarding broken road in residential colony.,Later
Request for new project regarding broken road in residential colony.,Later
Request for new project regarding building public library in highway.,Later
Request for new project regarding building public library in hospital area.,Later
Request for new project regarding building public library in market area.,Later
Request for new project regarding building public library in town.,Later
Request for new project regarding bus stand crowding in bus stand.,Later
Request for new project regarding bus stand crowding in bus stand.,Later
Request for new project regarding bus stand crowding in bus stand.,Later
Request for new project regarding bus stand crowding in city.,Later
Request for new project regarding bus stand crowding in highway.,Later
Request for new project regarding bus stand crowding in highway.,Later
Request for new project regarding bus stand crowding in main road.,Later
Request for new project regarding bus stand crowding in residential colony.,Later
Request for new project regarding bus stand crowding in residential colony.,Later
Request for new project regarding bus stand crowding in school zone.,Later
Request for new project regarding bus stand crowding in school zone.,Later
Request for new project regarding bus stand crowding in village.,Later
Request for new project regarding construction of bus stand in city.,Later
Request for new project regarding construction of bus stand in highway.,Later
Request for new project regarding construction of bus stand in highway.,Later
Request for new project regarding construction of bus stand in highway.,Later
Request for new project regarding construction of bus stand in school zone.,Later
Request for new project regarding construction of bus stand in school zone.,Later
Request for new project regarding construction of bus stand in school zone.,Later
Request for new project regarding construction of bus stand in town.,Later
Request for new project regarding construction of bus stand in town.,Later
Request for new project regarding construction of bus stand in village.,Later
Request for new project regarding electricity outage in city.,Later
Request for new project regarding electricity outage in highway.,Later
Request for new project regarding electricity outage in highway.,Later
Request for new project regarding electricity outage in highway.,Later
Request for new project regarding electricity outage in hospital area.,Later
Request for new project regarding electricity outage in main road.,Later
Request for new project regarding electricity outage in town.,Later
Request for new project regarding electricity outage in town.,Later
Request for new project regarding garbage pileup in city.,Later
Request for new project regarding garbage pileup in city.,Later
Request for new project regarding garbage pileup in city.,Later
Request for new project regarding garbage pileup in highway.,Later
Request for new project regarding garbage pileup in main road.,Later
Request for new project regarding garbage pileup in main road.,Later
Request for new project regarding garbage pileup in market area.,Later
Request for new project regarding garbage pileup in school zone.,Later
Request for new project regarding garbage pileup in town.,Later
Request for new project regarding garbage pileup in village.,Later
Request for new project regarding hospital medicine shortage in bus stand.,Later
Request for new project regarding hospital medicine shortage in bus stand.,Later
Request for new project regarding hospital medicine shortage in city.,Later
Request for new project regarding hospital medicine shortage in main road.,Later
Request for new project regarding hospital medicine shortage in market area.,Later
Request for new project regarding hospital medicine shortage in school zone.,Later
Request for new project regarding hospital medicine shortage in school zone.,Later
Request for new project regarding hospital medicine shortage in village.,Later
Request for new project regarding hospital medicine shortage in village.,Later
Request for new project regarding hospital medicine shortage in village.,Later
Request for new project regarding need new school in city.,Later
Request for new project regarding need new school in highway.,Later
Request for new project regarding need new school in hospital area.,Later
Request for new project regarding need new school in hospital area.,Later
Request for new project regarding need new school in hospital area.,Later
Request for new project regarding need new school in market area.,Later
Request for new project regarding need new school in market area.,Later
Request for new project regarding need new school in town.,Later
Request for new project regarding need new school in village.,Later
Request for new project regarding need overhead water tank in bus stand.,Later
Request for new project regarding need overhead water tank in city.,Later
Request for new project regarding need overhead water tank in city.,Later
Request for new project regarding need overhead water tank in hospital area.,Later
Request for new project regarding need overhead water tank in hospital area.,Later
Request for new project regarding need overhead water tank in main road.,Later
Request for new project regarding need overhead water tank in market area.,Later
Request for new project regarding need overhead water tank in school zone.,Later
Request for new project regarding public toilet maintenance in city.,Later
Request for new project regarding public toilet maintenance in highway.,Later
Request for new project regarding public toilet maintenance in hospital area.,Later
Request for new project regarding public toilet maintenance in main road.,Later
